level,start,end,name,link,prize
premier,20210517,20210527,2021 AfreecaTV GSL Super Tournament 2,https://liquipedia.net/starcraft2/AfreecaTV_GSL_Super_Tournament/2021/2,25600
major,20210519,20210530,DH SC2 Masters 2021 Summer: Latin America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer/LA,14500
major,20210526,20210530,DH SC2 Masters 2021 Summer: China,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer/CN,14500
premier,20210519,20210606,DH SC2 Masters 2021 Summer: Europe,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer/EU,74000
premier,20210525,20210606,DH SC2 Masters 2021 Summer: North America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer/NA,33600
premier,20210607,20210624,NeXT 2021 S1 – SC2 Masters,https://liquipedia.net/starcraft2/Netease_Esports_X_Tournaments/2021/1,23170
premier,20210612,20210627,TeamLiquid StarLeague 7,https://liquipedia.net/starcraft2/TeamLiquid_StarLeague/7,31000
premier,20210701,20210704,DH SC2 Masters 2021 Summer: Season Finals,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer,50000
major,20210706,20210712,WardiTV Team Liquid Map Contest #7,https://liquipedia.net/starcraft2/WardiTV_Team_Liquid_Map_Contest_Tournament_7,4000
major,20210612,20210717,ESL ANZ Champs 2021 - Season 1,https://liquipedia.net/starcraft2/ESL_ANZ_Champs/2021/Season_1,5549
premier,20210628,20210729,2021 Global StarCraft II League Season 2: Code S,https://liquipedia.net/starcraft2/Global_StarCraft_II_League/2021/Season_2,118000
major,20210728,20210801,DH SC2 Masters 2021 Fall: TW/HK,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall/TW,12200
major,20210728,20210801,DH SC2 Masters 2021 Fall: Oceania,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall/OC,12200
major,20210728,20210801,DH SC2 Masters 2021 Fall: Latin America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall/LA,14500
